100
1115  1052
1178  100
1187  706
123  862
1234  1946
1247  1945
1251  1832
1256  61
1286  525
1323  280
1380  939
1393  1368
1424  1728
1429  134
161  906
1621  1830
1625  1651
1724  1642
178  24
1787  1009
1795  962
1807  1711
19  674
1917  687
198  1810
2097  981
2139  1806
2178  1619
22  987
2290  1810
241  341
2421  1007
2482  1183
2519  135
252  1240
2542  236
2573  1969
2573  599
2574  946
2576  1676
2586  1286
2588  302
2597  1830
2599  901
2628  1479
2678  1825
2716  1432
2721  1482
2728  1698
274  1420
2848  96
2863  558
2936  337
2945  1622
2961  1605
298  1513
2991  792
3022  474
3085  1528
3113  885
327  265
3373  1646
3384  1498
3416  143
3447  1830
3479  821
3510  1671
3520  1079
3640  43
3683  1533
3756  882
376  825
378  1048
3815  169
3822  899
3854  923
3874  1318
3875  598
3888  666
3893  102
3911  1673
3913  192
3950  1558
3955  1743
457  334
463  1670
53  857
611  1384
611  673
738  1325
742  1025
776  392
839  620
872  1559
890  1846
928  1700
929  1766
938  955
953  268
984  965
